Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Promotions,Resigned,Joining Date
IT,Male,55,Specialist,2,High School,5,6750,33,32,0,FALSE,03-05-15
Finance,Male,29,Developer,0,High School,5,7500,34,34,2,FALSE,09-11-20
Finance,Male,55,Specialist,8,High School,3,5850,37,27,0,FALSE,12-02-19
Customer Support,Female,48,Analyst,7,Bachelor,2,4800,52,10,1,FALSE,08-09-17
Engineering,Female,36,Analyst,3,Bachelor,2,4800,38,11,1,FALSE,15-02-20
IT,Male,43,Manager,8,High School,3,7800,46,31,0,FALSE,24-06-16
IT,Male,37,Technician,1,Bachelor,5,5250,55,20,0,FALSE,11-05-23
Engineering,Female,55,Engineer,9,Bachelor,2,7200,42,46,0,FALSE,01-04-15
Marketing,Female,55,Technician,1,High School,2,4200,51,23,1,FALSE,07-02-24
Engineering,Female,45,Consultant,7,Bachelor,,6050,41,33,2,FALSE,26-05-18
Customer Support,Male,52,Engineer,4,Bachelor,3,7800,38,1,1,FALSE,28-01-15
Customer Support,Male,27,Technician,9,Bachelor,5,5250,39,13,0,FALSE,14-03-15
HR,Male,51,Technician,5,Bachelor,4,4900,31,11,2,FALSE,21-06-20
Engineering,Male,27,Analyst,9,Bachelor,4,5600,33,30,1,FALSE,23-06-19
Finance,Male,46,Analyst,1,Master,,4400,33,49,1,FALSE,01-06-20
Customer Support,Male,26,Developer,1,High School,2,6000,33,41,1,FALSE,25-07-17
Operations,Male,29,Engineer,4,Bachelor,2,7200,43,26,2,FALSE,19-02-19
Sales,Other,28,Developer,1,High School,3,6500,47,36,0,FALSE,18-05-18
Customer Support,Other,56,Developer,8,Bachelor,,5500,57,9,0,FALSE,16-07-17
Finance,Male,23,Technician,9,High School,2,4200,52,0,0,FALSE,07-06-23
Operations,Female,33,Manager,1,Bachelor,1,6600,33,28,2,FALSE,07-02-18
Sales,Male,59,Manager,7,Master,5,9000,30,22,0,FALSE,04-05-20
Finance,Male,26,Specialist,8,High School,4,6300,48,40,2,FALSE,16-12-15
Sales,Male,58,Consultant,6,Master,2,6600,55,2,2,FALSE,30-01-21
HR,Female,38,Analyst,6,Bachelor,2,4800,50,21,1,FALSE,09-04-22
Customer Support,Male,38,Specialist,2,Bachelor,5,6750,59,24,2,FALSE,20-02-20
Finance,Male,45,Engineer,3,Bachelor,2,7200,59,24,1,FALSE,01-05-24
Legal,Male,43,Manager,9,Master,3,7800,44,42,2,TRUE,07-07-18
Engineering,Male,53,Specialist,2,Bachelor,2,5400,31,34,1,FALSE,28-10-19
Finance,Male,52,Analyst,1,High School,3,5200,45,25,2,FALSE,18-08-16
Customer Support,Male,58,Consultant,6,Bachelor,,6050,38,15,2,FALSE,20-01-20
Legal,Female,24,Manager,1,High School,4,8400,39,25,0,FALSE,16-12-21
Customer Support,Male,29,Analyst,0,High School,2,4800,48,49,0,FALSE,10-06-24
Sales,Female,25,Engineer,2,PhD,4,8400,44,26,2,FALSE,17-08-17
Marketing,Male,41,Analyst,5,Master,4,5600,34,13,1,FALSE,26-09-17
HR,Female,42,Engineer,4,Master,5,9000,31,9,1,FALSE,12-06-19
Sales,Male,43,Consultant,0,High School,2,6600,53,42,1,FALSE,25-02-18
Sales,Other,46,Consultant,9,Master,2,6600,31,6,0,FALSE,11-04-21
IT,Male,48,Specialist,2,Bachelor,,4950,46,7,1,FALSE,15-05-16
HR,Female,58,Engineer,1,Bachelor,5,9000,44,2,1,FALSE,12-08-24
HR,Female,44,Analyst,3,Bachelor,2,4800,59,45,2,TRUE,29-01-24
Marketing,Male,29,Specialist,2,High School,4,6300,33,10,2,FALSE,10-11-24
Customer Support,Male,60,Engineer,8,Bachelor,3,7800,46,48,0,FALSE,22-10-21
Marketing,Female,43,Manager,3,High School,3,7800,43,25,0,FALSE,19-12-14
Customer Support,Female,46,Developer,3,Master,2,6000,58,7,1,FALSE,03-10-17
HR,Female,29,Specialist,8,High School,2,5400,31,19,1,FALSE,31-10-20
HR,Male,32,Technician,3,Bachelor,4,4900,41,19,2,FALSE,03-09-19
Operations,Male,31,Specialist,0,Bachelor,,4950,45,31,2,FALSE,03-02-17
Legal,Male,40,Specialist,8,High School,5,6750,59,49,1,FALSE,25-02-23
Operations,Other,57,Developer,4,High School,2,6000,53,10,0,FALSE,21-09-23
Legal,Female,35,Consultant,4,Bachelor,,6050,55,26,1,FALSE,07-12-15
HR,Male,40,Developer,7,Bachelor,2,6000,46,9,1,FALSE,17-09-23
Engineering,Male,28,Consultant,9,Bachelor,3,7150,38,34,0,FALSE,26-03-22
